symbol,exchange,company_name,date,stock_price_close,option_symbol,option_expiration,strike,call/put,style,ask,bid,mean_price,settlement,iv,volume,open_interest,stock_price_for_iv,forward_price,isinterpolated,delta,vega,gamma,theta,rho
SPX,CBOE,S&P 500 Index (SPX),1/3/11,1271.87,SPX   110122C00200000,1/21/11,200,C,E,1070.5,1066.2,1068.35,0,0.448957,0,250,1271.87,1270.724,*,0.999032,0,0,0,0.097077
SPX,CBOE,S&P 500 Index (SPX),1/3/11,1271.87,SPX   110122P00200000,1/21/11,200,P,E,0.05,0,0,0,0.448957,0,251,1271.87,1270.724,*,0,0,0,0,0
SPX,CBOE,S&P 500 Index (SPX),1/3/11,1271.87,SPX   110122C00300000,1/21/11,300,C,E,970.5,966.2,968.35,0,0.448957,0,0,1271.87,1270.724,*,0.999032,0,0,0,0.145615
SPX,CBOE,S&P 500 Index (SPX),1/3/11,1271.87,SPX   110122P00300000,1/21/11,300,P,E,0.05,0,0,0,0.448957,0,0,1271.87,1270.724,*,0,0,0,0,0
SPX,CBOE,S&P 500 Index (SPX),1/3/11,1271.87,SPX   110122C00350000,1/21/11,350,C,E,920.5,916.2,918.35,0,0.448957,0,0,1271.87,1270.724,*,0.999032,0,0,0,0.169884
SPX,CBOE,S&P 500 Index (SPX),1/3/11,1271.87,SPX   110122P00350000,1/21/11,350,P,E,0.05,0,0,0,0.448957,0,0,1271.87,1270.724,*,0,0,0,0,0
SPX,CBOE,S&P 500 Index (SPX),1/3/11,1271.87,SPX   110122C00400000,1/21/11,400,C,E,870.5,866.2,868.35,0,0.448957,0,9,1271.87,1270.724,*,0.999032,0,0,0,0.194153
SPX,CBOE,S&P 500 Index (SPX),1/3/11,1271.87,SPX   110122P00400000,1/21/11,400,P,E,0.05,0,0,0,0.448957,0,0,1271.87,1270.724,*,0,0,0,0,0
SPX,CBOE,S&P 500 Index (SPX),1/3/11,1271.87,SPX   110122C00450000,1/21/11,450,C,E,820.5,816.2,818.35,0,0.448957,0,0,1271.87,1270.724,*,0.999032,0,0,0,0.218422
SPX,CBOE,S&P 500 Index (SPX),1/3/11,1271.87,SPX   110122P00450000,1/21/11,450,P,E,0.05,0,0,0,0.448957,0,383,1271.87,1270.724,*,0,0,0,0,0
